;map_id, map_name, map_filename, map_original, map_deathmode, map_teamdeathmode, map_bot_origanl, map_bot_deathmode, map_bot_teamdeathmod,official,official_tiebreak,map_zombi,weapon_restrict_deault,weapon_restrict_none,weapon_restrict_noawp,weapon_resctrict_classic,weapon_restrict_sniper,weapon_restrict_pistol,weapon_restrict_knife,weapon_restrict_noflash,weapon_restrict_awp,bright,skybox,density,density_r,density_g,density_b,server_limit,max_player,d3d_bright,c4pos,map_zombi_expand,ExpLimit,PointLimit,event_map,weapon_restrict_fragonly,map_zombi_team,ZBTbright,ZBTskybox,ZBTdensity,ZBTdensity_r,ZBTdensity_g,ZBTdensity_b,ZBTd3d_bright,map_challenge,map_zombi_team_ann,map_zombi_3,map_zombie_survival,Scen_CountType_1ST,Scen_CountType_2ND,Scen_CountType_3RD,Scen_Rank_Clear,map_sort,ExtraInfo,map_soccer,ball_max,ball_default,map_human_scenario,SubType,PVPVE,"Orginal_Mission(1=폭파, 2=섬멸, 3=구출, 4=암살)","Weapon_Tag (1=칼전, 2=AWP, 3=이지, 4=하드, 5=익스트림, 6=스나이퍼전, 7=아이템전)",map_FunMode,"Fun_Subtype(1=축구, 2=챌린지, 3=TDM아이템전, 4=히든, 5=좀비탈출)",map_GDM,map_Basic,map_BZM,시나리오 시즌,"약점 분석기(0=미적용, 1=적용)",map_BattleRush,map_ZombieShelter,map_ZombieEscape,map_Snowman,"Snowman_Subtype(1=Original, 2=팀데스매치)",map_shelterteam,좀비 PVE 정복률 적용 맵,map_Zombie4,map_matching
0,#CSO_tunnel_kr,dm_tunnel,0,10011,10011,0,10011,10011,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,0,20,,,0,0.54,0.62,,1,0,,,,,,,,0,0,0,0,0,0,0,,,,0,,,0,,0,,,,,0,0,0,,,,,,,,,,,0
1,#CSO_camouflage_kr,cs_camouflage,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,0,20,,,0,0.89,0.92,,1,0,,,,,,,,0,0,0,0,0,0,0,,,,0,,,0,,0,3,,,,1,0,0,,,,,,,,,,,0
3,#CSO_rex_kr,de_rex,20003,20003,20003,20003,20003,20003,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,0,32,,"""-1255 464 222 -138 -72 -20""",0,1.15,1.19,,1,10001,l,hk,0.0015,0,5,7,j,0,3,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,0,0,,,,,,,,,,,0
4,#CSO_dust_kr,de_dust,4,4,4,4,4,4,0,0,10006,0,1,1,1,1,1,1,1,1,e,hk,0.001,0,0,0,0,32,j,"""1919 651 61 379 -1648 131""",4,1,1,,1,10005,h,hk,0.0007,0,0,0,i,,10005,4,0,0,0,0,,,,0,,,0,,0,1,,,,0,10004,0,,,,,,,,,,,18
5,#CSO_dust2_kr,de_dust2,10006,10006,10006,10006,10006,10006,10001,10001,5,0,1,1,1,1,1,1,1,1,f,Mist2,0.0015,63,56,34,0,32,i,"""1156 2410 156 -1610 2686 62""",5,1,1,,1,,h,hk,0.0006,63,56,34,k,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,10005,0,,,,,,,,,,,33
6,#CSO_aztec_kr,de_aztec,6,6,6,6,6,6,0,0,0,0,1,1,1,1,1,1,1,1,d,de_2storm,0.0013,9,7,3,0,32,h,"""-578 -1485 -171 -2125 967 -181""",0,1.1,1.11,,1,,h,hk,0.0009,9,7,3,j,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,0,0,,,,,,,,,,,25
7,#CSO_inferno_kr,de_inferno,10005,10005,10005,10005,10005,10005,10002,10002,0,0,1,1,1,1,1,1,1,1,e,BlueSky,0.0015,4,10,15,0,32,i,"""259 2802 215 2086 431 205""",0,1.12,1.13,,1,,g,hk,0.001,4,10,15,j,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,10003,0,,,,,,,,,,,32
8,#CSO_train_kr,de_train,10004,10004,10004,10004,10004,10004,10003,10003,0,0,1,1,1,1,1,1,1,1,i,de_2storm,0.001,0,0,0,0,32,h,"""264 -1280 -185 1303 -158 -74""",0,1.18,1.21,,1,,k,hk,0.0007,0,0,0,j,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,122,0,,,,,,,,,,,30
9,#CSO_prodigy_kr,de_prodigy,9,9,9,9,9,9,0,0,0,0,1,1,1,1,1,1,1,1,i,Reddusk,0.00095,15,0,0,0,32,k,"""1967 -275 -350 1766 -1271 -440""",0,1.2,1.32,,1,,k,hk,0.0007,15,0,0,k,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,0,0,,,,,,,,,,,21
10,#CSO_cbble_kr,de_cbble,10,10,10,10,10,10,0,0,0,0,1,1,1,1,1,1,1,1,f,hk,0.001,25,24,18,0,32,g,"""-2752 -1791 83 961 -947 -91""",0,1,1,,1,10,h,hk,0.0008,25,24,18,i,,10,,0,0,0,0,,,,0,,,0,,0,1,,,,0,10,0,,,,,,,,,,,23
11,#CSO_airstrip_kr,de_airstrip,11,11,11,11,11,11,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,0,32,,"""219 -280 50 -2409 -2666 42""",0,1.3,1.33,,1,0,,,,,,,,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,0,0,,,,,,,,,,,0
12,#CSO_chateau_kr,de_chateau,12,12,12,12,12,12,0,0,0,0,1,1,1,1,1,1,1,1,h,hk,0.0013,15,0,0,0,32,h,"""124 82 4 2232 1219 27""",0,1,1,,1,12,j,hk,0.001,15,0,0,j,,12,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,0,0,,,,,,,,,,,22
