model_id,comment,radio_text,emtion_count,wa01,wa02,wa03,wa04,wa05,wa06,wa07,wa08,wa09,wa10,seq01,seq02,seq03,seq04,seq05,seq06,seq07,seq08,seq09,seq10,frame01,frame02,frame03,frame04,frame05,frame06,frame07,frame08,frame09,frame10
1,urban,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
2,terror,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
3,leet,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
4,arctic,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
5,gsg9,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
6,gign,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
7,sas,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
8,guerilla,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
9,vip,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
10,militia,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
11,spetsnaz,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
12,707,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
13,sozo,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
14,magui,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
15,sdefence,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,96,134,113,211,201,183,2,2,2,2
16,rb,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
17,ira,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
18,eta,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
19,jra,#CSO_EmotionA,4,0,4,2,6,,,,,,,1,2,4,3,,,,,,,139,134,113,211,201,183,2,2,2,2
20,criss,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
21,natasha,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
22,choijiyoon,#CSO_EmotionA,4,1,5,3,7,,,,,,,1,2,4,3,,,,,,,161,171,216,171,201,86,171,171,171,171
